title,link,authors,year
"Global burden of cardiovascular diseases and risk factors, 1990–2019: update from the GBD 2019 study",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=AZNLuScAAAAJ&pagesize=100&citation_for_view=AZNLuScAAAAJ:vV6vV6tmYwMC,"(1) GA Roth, GA Mensah, CO Johnson, G Addolorato, E Ammirati, ...",2020
"Global, regional, and national burden of neurological disorders, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ioyC8AcAAAAJ&pagesize=100&citation_for_view=ioyC8AcAAAAJ:xtRiw3GOFMkC,"(1) VL Feigin, E Nichols, T Alam, MS Bannick, E Beghi, N Blake, ...",2019
"Sustainable development: Meaning, history, principles, pillars, and implications for human action: Literature review",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0tk6suoAAAAJ&pagesize=100&citation_for_view=0tk6suoAAAAJ:2osOgNQ5qMEC,(1) J Mensah,2019
"Global age-sex-specific fertility, mortality, healthy life expectancy (HALE), and population estimates in 204 countries and territories, 1950–2019: a comprehensive demographic …",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ioyC8AcAAAAJ&pagesize=100&citation_for_view=ioyC8AcAAAAJ:eflP2zaiRacC,"(1) H Wang, KM Abbas, M Abbasifard, M Abbasi-Kangevari, H Abbastabar, ...",2020
"Global, regional, and national burden of traumatic brain injury and spinal cord injury, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ioyC8AcAAAAJ&pagesize=100&citation_for_view=ioyC8AcAAAAJ:f2IySw72cVMC,"(1) SL James, A Theadom, RG Ellenbogen, MS Bannick, W Montjoy-Venning, ...",2019
Sample Size Determination in Survey Research,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=DHXqQUMAAAAJ&pagesize=100&citation_for_view=DHXqQUMAAAAJ:SjuI4pbJlxcC,(1) AM Adam,2020
Timing of surgery following SARS-CoV-2 infection: an international prospective cohort study.,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=sV_RHK4AAAAJ&pagesize=100&citation_for_view=sV_RHK4AAAAJ:WF5omc3nYNoC,"(1) D Nepogodiev, JFF Simoes, E Li, M Picciochi, JC Glasbey, ...",2021
Timing of surgery following SARS‐CoV‐2 infection: an international prospective cohort study,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=83a3zgkAAAAJ&pagesize=100&citation_for_view=83a3zgkAAAAJ:kNdYIx-mwKoC,"(5) H Gacaferi, GS Collaborative, COVIDSurg Collaborative",2021
"Mortality, morbidity, and hospitalisations due to influenza lower respiratory tract infections, 2017: an analysis for the Global Burden of Disease Study 2017",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ioyC8AcAAAAJ&pagesize=100&citation_for_view=ioyC8AcAAAAJ:bFI3QPDXJZMC,"(1) CE Troeger, BF Blacker, IA Khalil, SRM Zimsen, SB Albertson, D Abate, ...",2019
"The global burden of cancer attributable to risk factors, 2010–19: a systematic analysis for the Global Burden of Disease Study 2019",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=JEpmvgsAAAAJ&pagesize=100&citation_for_view=JEpmvgsAAAAJ:aqlVkmm33-oC,"(1) KB Tran, JJ Lang, K Compton, R Xu, AR Acheson, HJ Henrikson, ...",2022
"Examining the correlations between stakeholder pressures, green production practices, firm reputation, environmental and financial performance: Evidence from manufacturing SMEs",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=TIfpcPAAAAAJ&pagesize=100&citation_for_view=TIfpcPAAAAAJ:WF5omc3nYNoC,"(1) C Baah, D Opoku-Agyeman, ISK Acquah, Y Agyabeng-Mensah, E Afum, ...",2021
Fungal diversity notes 929–1035: taxonomic and phylogenetic contributions on genera and species of fungi,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=f9QdT4oAAAAJ&pagesize=100&citation_for_view=f9QdT4oAAAAJ:W7OEmFMy1HYC,"(1) R Phookamsak, KD Hyde, R Jeewon, DJ Bhat, EBG Jones, ...",2019
Cryptocurrencies and stock market indices. Are they related?,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=0baKC5wAAAAJ&pagesize=100&citation_for_view=0baKC5wAAAAJ:HoB7MX3m0LUC,"(1) LA Gil-Alana, EJA Abakah, MFR Rojo",2020
